lad19cd,E06000001,E06000002,E06000003,E06000004,E06000005,E06000006,E06000007,E06000008,E06000009,E06000010,E06000011,E06000012,E06000013,E06000014,E06000015,E06000016,E06000017,E06000018,E06000019,E06000020,E06000021,E06000022,E06000023,E06000024,E06000025,E06000026,E06000027,E06000030,E06000031,E06000032,E06000033,E06000034,E06000035,E06000036,E06000037,E06000038,E06000039,E06000040,E06000041,E06000042,E06000043,E06000044,E06000045,E06000046,E06000047,E06000049,E06000050,E06000051,"E06000052,E06000053",E06000054,E06000055,E06000056,E06000057,E06000058,E07000143,E07000144,E07000145,E07000146,E07000147,E07000148,E07000149,E07000150,E07000151,E07000152,E07000153,E07000154,E07000155,E07000156,E07000163,E07000164,E07000165,E07000166,E07000167,E07000168,E07000169,E07000170,E07000171,E07000172,E07000173,E07000174,E07000175,E07000176,E07000177,E07000178,E07000179,E07000180,E07000181,E07000187,E07000188,E07000189,E07000192,E07000193,E07000194,E07000195,E07000196,E07000197,E07000198,E07000199,E07000200,E07000202,E07000203,E07000207,E07000208,E07000209,E07000210,E07000211,E07000212,E07000213,E07000214,E07000215,E07000216,E07000217,E07000218,E07000219,E07000220,E07000221,E07000222,E07000223,E07000224,E07000225,E07000226,E07000227,E07000228,E07000229,E07000234,E07000235,E07000236,E07000237,E07000238,E07000239,E07000240,E07000241,E07000242,E07000243,E07000244,E07000245,E07000246,E08000001,E08000002,E08000003,E08000004,E08000005,E08000006,E08000007,E08000008,E08000009,E08000010,E08000011,E08000012,E08000013,E08000014,E08000015,E08000016,E08000017,E08000018,E08000019,E08000021,E08000022,E08000023,E08000024,E08000025,E08000026,E08000027,E08000028,E06000059,E07000004,E07000005,E07000006,E07000007,E07000008,E07000009,E07000010,E07000011,E07000012,E07000026,E07000027,E07000028,E07000029,E07000030,E07000031,E07000032,E07000033,E07000034,E07000035,E07000036,E07000037,E07000038,E07000039,E07000040,E07000041,E07000042,E07000043,E07000044,E07000045,E07000046,E07000047,E07000061,E07000062,E07000063,E07000064,E07000065,E07000066,E07000067,E07000068,E07000069,E07000070,E07000071,E07000072,E07000073,E07000074,E07000075,E07000076,E07000077,E07000078,E07000079,E07000080,E07000081,E07000082,E07000083,E08000029,E08000030,E08000031,E08000032,E08000033,E08000034,E08000035,E08000036,E08000037,"E09000001,E09000033",E09000002,E09000003,E09000004,E09000005,E09000006,E09000007,E09000008,E09000009,E09000010,E09000011,E09000012,E09000013,E09000014,E09000015,E09000016,E09000017,E09000018,E09000019,E09000020,E09000021,E09000022,E09000023,E09000024,E09000025,E09000026,E09000027,E09000028,E09000029,E09000030,E09000031,E09000032,E07000084,E07000085,E07000086,E07000087,E07000088,E07000089,E07000090,E07000091,E07000092,E07000093,E07000094,E07000095,E07000096,E07000098,E07000099,E07000102,E07000103,E07000105,E07000106,E07000107,E07000108,E07000109,E07000110,E07000111,E07000112,E07000113,E07000114,E07000115,E07000116,E07000117,E07000118,E07000119,E07000120,E07000121,E07000122,E07000123,E07000124,E07000125,E07000126,E07000127,E07000128,E07000129,E07000130,E07000131,E07000132,E07000133,E07000134,E07000135,E07000136,E07000137,E07000138,E07000139,E07000140,E07000141,E07000142
E06000001,20777,1591,534,3865,433,5,2,0,1,8,24,6,3,30,6,3,4,6,2,3,1,1,2,0,10,8,0,1,6,7,0,2,7,1,3,0,0,3,7,3,0,9,1,1,2269,14,1,9,5,3,1,3,47,1,0,3,2,1,0,1,2,0,2,0,1,6,1,3,0,152,29,43,9,4,15,3,11,4,0,3,1,1,2,5,1,6,2,0,0,6,7,3,2,1,1,3,0,1,1,0,3,0,0,1,6,1,7,2,5,0,0,2,0,0,4,2,2,0,4,4,5,1,2,0,0,0,0,0,0,0,0,2,0,0,1,4,1,1,0,13,1,5,5,2,0,10,2,2,1,0,1,0,9,16,2,13,310,104,121,651,20,3,0,5,1,1,0,2,2,2,1,0,4,4,5,3,9,10,1,6,1,0,1,0,1,0,1,1,3,0,1,0,2,1,0,0,0,0,3,0,0,0,0,0,2,1,1,1,1,0,0,3,4,1,0,2,1,1,0,2,3,8,8,1,13,52,44,173,20,2,4,1,2,9,4,0,4,0,0,1,6,1,0,0,13,8,3,5,0,2,1,2,1,0,0,3,1,1,2,3,4,5,0,1,7,6,0,3,2,0,0,0,1,0,1,3,5,0,0,4,0,0,1,1,3,0,0,0,0,1,0,8,6,2,1,3,0,4,1,0,1,0,1,0,0,0,0,0,0,1,0,4,1,0,2
E06000002,990,25474,5111,8889,1030,13,4,6,0,21,23,5,16,96,11,2,0,7,3,7,1,2,3,3,12,4,0,2,7,1,1,0,4,0,3,0,3,7,9,8,1,6,2,3,710,2,3,12,4,7,0,0,54,0,4,1,8,2,0,0,3,0,0,1,1,16,0,3,1,1450,108,107,38,57,4,1,12,5,1,2,7,3,7,3,3,4,2,0,1,4,1,0,1,2,2,25,0,3,0,3,0,2,0,0,4,2,3,7,3,0,0,2,0,1,3,6,6,0,2,7,0,0,3,0,0,0,3,0,1,0,4,4,1,1,1,5,2,5,1,18,4,1,12,1,0,11,6,3,20,3,7,9,7,23,9,18,202,78,85,275,19,6,5,6,9,0,1,4,7,1,5,0,0,7,5,0,12,15,3,6,4,1,3,1,2,0,2,1,1,1,0,2,0,0,0,0,0,0,1,0,0,2,1,1,1,0,5,1,3,0,0,0,3,5,2,0,1,1,0,6,11,11,31,4,9,120,52,120,37,2,6,1,2,3,6,3,5,4,1,5,9,0,6,0,12,5,6,1,2,4,0,0,3,0,1,2,0,5,2,2,5,1,4,1,0,3,1,4,0,1,1,1,2,3,1,0,1,1,0,7,1,1,1,0,0,1,0,0,1,0,2,8,0,1,0,8,0,0,0,0,1,2,5,0,1,0,5,0,1,10,5,2,1,1,0
E06000003,558,10569,25106,5387,682,2,4,1,1,7,49,5,27,94,11,4,2,7,0,4,3,0,2,0,12,3,0,3,6,7,0,0,5,2,5,8,1,2,15,7,0,22,2,2,465,4,8,7,9,23,6,5,47,3,5,0,2,9,0,2,0,0,0,0,0,7,3,3,0,1322,76,99,131,521,13,2,30,5,1,2,8,7,8,3,3,4,4,0,1,5,0,1,1,4,0,14,1,1,1,0,0,9,0,5,6,0,3,3,3,1,0,2,0,1,3,5,4,0,0,0,8,1,1,0,0,0,0,0,1,1,1,1,0,1,3,2,6,2,2,18,4,0,8,3,2,8,3,0,11,5,5,5,9,26,16,36,170,64,44,252,9,8,4,3,1,3,0,1,3,0,0,0,2,3,0,2,4,12,22,0,5,6,1,0,0,0,1,0,1,0,0,2,2,2,0,0,0,0,1,0,0,1,1,0,3,2,7,2,1,0,1,1,2,4,3,0,11,4,1,2,5,10,18,6,15,141,39,109,27,3,6,2,0,2,6,3,1,0,0,3,0,1,0,0,13,3,11,1,2,1,2,4,1,0,3,0,4,11,0,3,0,1,3,2,1,2,0,3,2,2,0,3,0,1,2,2,5,0,0,4,1,0,1,1,0,1,1,1,0,0,0,15,0,3,0,3,3,1,5,0,0,4,1,0,0,0,7,0,1,12,2,11,1,0,3
E06000004,2590,10779,3652,44337,3317,4,11,3,2,17,62,18,29,174,12,7,5,13,9,12,9,6,3,1,19,17,0,7,16,7,2,2,1,5,3,5,10,5,14,14,2,14,2,8,2513,12,5,14,16,20,1,14,91,2,1,1,5,4,0,1,2,0,2,2,1,19,5,7,2,1659,151,236,33,44,23,5,35,1,0,1,1,1,10,3,13,7,2,1,0,11,1,1,3,9,1,10,4,0,5,4,1,5,0,1,4,2,7,1,1,0,2,9,7,4,8,6,15,0,1,7,13,0,1,0,7,1,2,4,3,0,2,6,7,5,5,5,6,6,8,18,10,10,15,11,3,17,21,1,25,7,12,5,4,24,13,22,557,204,162,657,23,8,3,8,2,7,0,0,3,2,1,1,0,10,2,10,19,21,11,6,3,6,6,1,0,4,3,4,9,3,1,6,3,0,0,0,1,1,1,0,0,8,3,2,0,0,9,0,1,0,2,3,5,5,4,2,4,1,1,3,8,4,45,12,16,218,56,328,68,1,4,3,3,4,19,1,12,5,2,5,3,3,3,4,29,13,17,6,0,12,8,7,7,2,2,21,1,16,3,2,9,4,2,4,5,3,0,10,4,1,13,5,2,0,6,7,4,2,0,7,0,2,8,0,1,2,0,0,0,2,1,8,0,10,0,11,1,0,7,3,5,3,8,2,0,0,9,1,1,7,5,21,4,6,1
E06000005,266,1300,467,3014,26671,7,10,2,2,19,26,0,18,145,3,1,0,8,2,4,1,0,8,1,14,12,0,3,8,7,0,1,3,2,9,2,6,8,9,7,1,6,3,0,4629,2,2,12,5,17,0,4,80,0,1,0,1,8,1,2,0,0,2,0,1,10,1,1,6,1328,142,1286,13,11,10,4,15,2,4,0,4,4,1,2,5,1,3,1,1,0,2,1,1,5,2,8,0,3,3,0,7,3,0,4,3,3,6,0,5,4,0,3,2,0,3,3,8,0,1,2,2,2,3,1,2,1,3,0,0,0,4,3,0,1,2,3,1,7,1,18,11,6,13,2,2,2,5,0,12,6,0,5,8,11,4,13,418,87,94,356,11,3,2,3,6,3,0,1,2,6,0,1,4,5,3,2,9,11,11,6,1,4,5,0,2,1,5,0,1,3,0,1,0,1,0,0,0,0,1,0,0,0,3,0,2,0,2,0,2,0,0,2,1,3,0,4,0,1,4,3,2,1,36,8,10,132,26,222,32,0,2,0,0,2,13,0,3,2,1,2,4,1,3,0,13,4,12,1,1,5,1,1,8,0,4,4,2,5,1,0,2,4,1,6,2,3,0,2,0,2,1,0,1,1,1,1,3,2,0,5,3,0,2,0,3,0,0,0,0,2,3,5,2,1,4,3,1,1,2,0,0,1,0,3,0,0,2,2,2,3,3,9,1,1,1
E06000006,1,3,3,1,4,27270,5786,22,16,4,7,0,0,6,6,7,0,19,5,14,27,2,6,6,2,16,0,3,1,15,0,6,1,6,10,8,6,11,6,224,6,9,3,3,9,513,2680,19,5,10,0,1,4,0,0,0,0,2,2,1,0,0,7,1,4,8,1,3,0,10,17,17,5,0,3,5,2,0,1,0,0,5,5,3,3,3,4,1,1,7,3,4,6,30,10,10,1,9,0,5,2,3,0,2,4,1,6,1,7,1,1,5,8,0,10,2,10,0,0,4,9,5,2,0,2,0,0,5,1,0,2,9,0,5,2,6,3,70,56,852,36,52,358,215,57,523,365,2043,4518,1500,474,348,5,6,7,13,7,2,1,6,22,9,10,5,5,7,3,4,5,0,0,0,5,4,0,0,6,7,3,3,2,2,6,2,2,7,1,1,8,4,0,0,3,1,0,0,0,0,0,1,3,3,1,2,1,5,7,0,10,0,1,0,4,3,2,0,2,0,3,9,15,10,18,19,19,116,13,2,42,0,7,1,1,1,14,2,1,1,2,2,4,2,5,8,18,3,1,2,1,8,1,3,4,0,0,5,5,6,3,0,7,2,0,8,1,2,1,1,2,2,1,11,8,0,1,0,9,2,0,2,1,0,2,3,0,1,0,0,0,6,25,29,8,7,2,74,13,7,55,192,7,2,6,4,1,1,8,0,2,2,2,3,0,1,0
E06000007,4,9,2,2,7,4674,50422,148,44,7,9,0,8,18,16,11,1,46,17,16,92,8,5,5,11,8,3,6,6,50,1,2,1,15,15,10,9,13,5,83,2,18,4,2,7,2005,2462,38,6,29,4,15,4,3,1,0,0,3,1,4,1,0,2,0,1,43,6,1,8,5,27,19,2,3,9,6,9,3,0,0,2,9,4,5,13,18,7,2,4,13,4,17,10,33,7,27,16,9,2,0,4,0,4,3,10,5,13,6,9,0,3,3,13,6,4,6,27,1,1,1,24,0,4,0,5,3,4,5,4,2,0,9,3,8,3,4,8,525,228,4232,204,209,2155,801,226,3226,2000,1124,2628,2516,406,382,9,18,19,39,14,6,2,1,73,11,7,20,3,2,1,11,25,6,0,0,7,7,5,5,12,27,9,19,5,9,6,1,4,13,2,2,9,1,1,0,6,2,0,0,3,1,1,0,4,4,0,5,0,3,4,2,14,1,0,0,6,2,1,1,6,0,7,19,14,10,42,54,62,206,31,1,108,2,6,1,13,4,24,3,8,5,3,9,21,2,11,4,34,17,14,1,10,9,0,3,6,1,5,9,8,18,1,6,14,6,3,3,3,6,1,3,7,2,3,4,11,3,0,5,9,2,0,8,1,0,6,2,0,2,0,0,0,27,149,71,32,35,20,199,37,34,193,396,24,4,10,8,2,4,27,0,0,6,7,12,2,6,1
E06000008,2,2,2,2,5,27,208,31801,222,9,11,0,2,9,2,5,1,2,1,6,10,6,6,0,6,5,2,2,4,12,1,0,2,3,5,5,3,1,4,13,0,6,44,0,3,51,28,7,4,16,2,2,5,0,0,0,0,0,2,2,0,0,2,0,0,16,0,0,42,14,17,27,4,4,3,1,0,0,0,0,0,4,2,2,9,4,0,0,3,2,0,3,3,0,0,3,0,2,0,0,1,1,1,3,6,0,2,1,2,0,0,4,1,1,2,4,13,2,0,2,4,0,6,1,2,1,1,0,0,0,1,2,0,3,3,2,3,1827,554,766,157,220,331,112,65,265,254,39,69,39,43,15,5,3,92,128,8,2,0,6,19,3,4,4,0,1,0,2,7,2,0,0,2,3,3,11,7,5,6,29,2,2,1,0,1,5,3,0,3,0,0,3,2,0,0,0,0,1,0,0,5,3,0,1,0,0,6,1,1,1,0,1,0,0,3,0,2,3,4,2,6,3,76,49,19,63,11,6,33,1,32,1,4,5,7,2,6,0,1,1,1,0,2,0,5,2,7,3,0,3,1,1,4,3,2,3,2,5,3,4,2,1,1,2,2,3,1,0,4,0,1,6,3,3,0,3,1,0,0,1,0,0,3,0,1,2,0,1,0,1331,739,367,3351,131,636,2315,1942,648,1278,110,139,1,0,4,0,0,5,0,0,2,0,4,0,5,0
E06000009,0,6,0,1,2,27,96,193,32638,1,8,2,8,4,1,0,3,0,1,3,1,0,12,0,10,15,5,0,4,9,1,0,3,4,2,7,3,3,1,6,1,6,1,0,3,25,19,9,12,55,1,6,5,5,0,0,0,2,0,1,0,0,2,0,0,0,1,5,12,3,12,18,0,1,2,1,2,0,1,1,0,2,12,1,10,6,7,0,0,2,0,2,2,3,0,0,0,2,0,0,2,0,0,4,1,9,2,0,2,0,0,5,0,0,3,1,3,0,0,3,5,0,1,2,2,1,3,1,2,1,0,2,0,3,1,6,2,105,35,177,31,23,89,27,13,65,82,18,113,16,29,6,4,4,5,5,3,2,0,3,16,4,12,4,4,1,1,0,0,1,0,0,1,2,5,12,8,10,2,38,3,2,3,0,0,5,4,1,3,0,1,0,35,1,0,0,1,1,1,0,0,3,0,3,0,0,6,1,0,0,0,0,1,0,11,2,3,2,3,2,3,3,19,5,13,42,5,2,38,1,14,0,2,2,10,3,7,3,2,1,3,5,2,0,6,3,5,2,0,3,0,3,1,1,0,4,2,11,3,3,1,5,1,2,0,4,0,3,5,4,1,4,4,1,0,0,0,0,1,1,2,1,2,4,2,0,3,2,0,24,176,7312,60,354,35,1897,256,9,504,68,4902,2,4,0,0,0,1,0,0,6,0,1,1,0,2
E06000010,6,10,11,11,9,13,21,3,1,73454,18534,704,601,288,10,3,2,64,8,4,2,2,3,2,28,31,0,4,11,11,5,5,1,2,6,2,0,7,2,9,4,44,15,2,111,13,12,19,11,18,1,9,3,6,22,14,8,10,1,1,0,3,0,0,1,61,4,2,3,60,45,43,276,115,130,12,70,3,6,9,10,14,16,1,14,5,1,3,0,10,3,5,7,1,0,20,3,6,1,0,4,6,0,9,0,3,1,1,4,4,2,3,3,2,9,0,11,1,3,1,3,1,4,0,2,0,2,3,4,0,6,7,0,34,36,7,4,5,3,37,6,4,58,10,1,15,21,0,45,9,7,3,23,149,41,73,42,5,9,5,35,5,9,2,13,4,1,0,6,13,1,1,3,5,4,1,5,0,1,0,1,79,12,2,3,3,5,0,4,0,0,5,4,6,2,0,1,0,0,0,10,3,1,1,0,6,10,1,2,0,1,1,5,1,1,1,3,2,4,8,22,6,41,37,66,393,252,8,50,2,7,2,2,17,12,6,9,3,2,4,4,3,1,2,13,12,3,6,10,6,0,2,5,3,4,7,15,7,4,2,6,2,4,15,6,7,2,0,4,3,8,6,7,5,2,4,4,1,0,0,14,2,0,0,0,0,1,1,5,2,1,4,0,5,4,17,1,0,5,7,3,9,6,8,1,1,12,1,2,33,54,21,9,1,31
